idx,ID,London Borough,Date,Average Price, PCT DIFF , CAGR 
1,E09000002,Barking & Dagenham,1/1/1995,50460.2266, 548.00 , 7.80 
2,E09000003,Barnet,1/1/1995,93284.51832, 471.00 , 7.20 
3,E09000004,Bexley,1/1/1995,64958.09036, 411.00 , 6.70 
4,E09000005,Brent,1/1/1995,71306.56698, 527.00 , 7.60 
5,E09000006,Bromley,1/1/1995,81671.47692, 427.00 , 6.90 
6,E09000007,Camden,1/1/1995,120932.8881, 629.00 , 8.30 
7,E09000008,Croydon,1/1/1995,69158.16225, 418.00 , 6.80 
8,E09000009,Ealing,1/1/1995,79885.89069, 468.00 , 7.20 
9,E09000010,Enfield,1/1/1995,72514.69096, 432.00 , 6.90 
10,E09000011,Greenwich,1/1/1995,62300.10169, 567.00 , 7.90 
11,E09000012,Hackney,1/1/1995,61296.52637, 942.00 , 9.80 
12,E09000013,Hammersmith & Fulham,1/1/1995,124902.8602, 498.00 , 7.40 
13,E09000014,Haringey,1/1/1995,76287.56947, 641.00 , 8.30 
14,E09000015,Harrow,1/1/1995,84769.52599, 436.00 , 6.90 
15,E09000016,Havering,1/1/1995,68000.13774, 419.00 , 6.80 
16,E09000017,Hillingdon,1/1/1995,73834.82964, 466.00 , 7.20 
17,E09000018,Hounslow,1/1/1995,72231.70537, 486.00 , 7.30 
18,E09000019,Islington,1/1/1995,92516.48557, 583.00 , 8.00 
19,E09000020,Kensington & Chelsea,1/1/1995,182694.8326, 664.00 , 8.50 
20,E09000021,Kingston upon Thames,1/1/1995,80875.84843, 526.00 , 7.60 
21,E09000022,Lambeth,1/1/1995,67770.98843, 675.00 , 8.50 
22,E09000023,Lewisham,1/1/1995,60491.26109, 601.00 , 8.10 
23,E09000024,Merton,1/1/1995,82070.6133, 521.00 , 7.60 
24,E09000025,Newham,1/1/1995,53539.31919, 623.00 , 8.20 
25,E09000026,Redbridge,1/1/1995,72189.58437, 480.00 , 7.30 
26,E09000027,Richmond upon Thames,1/1/1995,109326.1245, 479.00 , 7.30 
27,E09000028,Southwark,1/1/1995,67885.20344, 620.00 , 8.20 
28,E09000029,Sutton,1/1/1995,71536.97357, 428.00 , 6.90 
29,E09000030,Tower Hamlets,1/1/1995,59865.18995, 690.00 , 8.60 
30,E09000031,Waltham Forest,1/1/1995,61319.44913, 613.00 , 8.20 
31,E09000032,Wandsworth,1/1/1995,88559.04381, 606.00 , 8.10 
32,E09000033,Westminster,1/1/1995,133025.2772, 716.00 , 8.80 
49,E09000002,Barking & Dagenham,2/1/1995,51085.77983, 548.00 , 7.80 
50,E09000003,Barnet,2/1/1995,93190.16963, 471.00 , 7.20 
51,E09000004,Bexley,2/1/1995,64787.92069, 411.00 , 6.70 
52,E09000005,Brent,2/1/1995,72022.26197, 527.00 , 7.60 
53,E09000006,Bromley,2/1/1995,81657.55944, 427.00 , 6.90 
54,E09000007,Camden,2/1/1995,119508.8622, 629.00 , 8.30 
55,E09000008,Croydon,2/1/1995,68951.09542, 418.00 , 6.80 
56,E09000009,Ealing,2/1/1995,80897.06551, 468.00 , 7.20 
57,E09000010,Enfield,2/1/1995,73155.19746, 432.00 , 6.90 
58,E09000011,Greenwich,2/1/1995,60993.26863, 567.00 , 7.90 
59,E09000012,Hackney,2/1/1995,63187.08332, 942.00 , 9.80 
60,E09000013,Hammersmith & Fulham,2/1/1995,122087.718, 498.00 , 7.40 
61,E09000014,Haringey,2/1/1995,78901.21036, 641.00 , 8.30 
62,E09000015,Harrow,2/1/1995,83396.10525, 436.00 , 6.90 
63,E09000016,Havering,2/1/1995,69393.51294, 419.00 , 6.80 
64,E09000017,Hillingdon,2/1/1995,75031.0696, 466.00 , 7.20 
65,E09000018,Hounslow,2/1/1995,71051.55852, 486.00 , 7.30 
66,E09000019,Islington,2/1/1995,94342.37334, 583.00 , 8.00 
67,E09000020,Kensington & Chelsea,2/1/1995,182345.2463, 664.00 , 8.50 
68,E09000021,Kingston upon Thames,2/1/1995,81230.13524, 526.00 , 7.60 
69,E09000022,Lambeth,2/1/1995,65381.51908, 675.00 , 8.50 
70,E09000023,Lewisham,2/1/1995,60869.27091, 601.00 , 8.10 
71,E09000024,Merton,2/1/1995,79982.74872, 521.00 , 7.60 
72,E09000025,Newham,2/1/1995,53153.88306, 623.00 , 8.20 
73,E09000026,Redbridge,2/1/1995,72141.6261, 480.00 , 7.30 
74,E09000027,Richmond upon Thames,2/1/1995,111103.0394, 479.00 , 7.30 
75,E09000028,Southwark,2/1/1995,64799.0648, 620.00 , 8.20 
76,E09000029,Sutton,2/1/1995,70893.20851, 428.00 , 6.90 
77,E09000030,Tower Hamlets,2/1/1995,62318.53353, 690.00 , 8.60 
78,E09000031,Waltham Forest,2/1/1995,60252.12246, 613.00 , 8.20 
79,E09000032,Wandsworth,2/1/1995,88641.01678, 606.00 , 8.10 
80,E09000033,Westminster,2/1/1995,131468.3096, 716.00 , 8.80 
97,E09000002,Barking & Dagenham,3/1/1995,51268.96956, 548.00 , 7.80 
98,E09000003,Barnet,3/1/1995,92247.52435, 471.00 , 7.20 
99,E09000004,Bexley,3/1/1995,64367.49344, 411.00 , 6.70 
100,E09000005,Brent,3/1/1995,72015.76274, 527.00 , 7.60 
101,E09000006,Bromley,3/1/1995,81449.31143, 427.00 , 6.90 
102,E09000007,Camden,3/1/1995,120282.2131, 629.00 , 8.30 
103,E09000008,Croydon,3/1/1995,68712.44341, 418.00 , 6.80 
104,E09000009,Ealing,3/1/1995,81379.86288, 468.00 , 7.20 
105,E09000010,Enfield,3/1/1995,72190.44144, 432.00 , 6.90 
106,E09000011,Greenwich,3/1/1995,61377.83464, 567.00 , 7.90 
107,E09000012,Hackney,3/1/1995,63593.29935, 942.00 , 9.80 
108,E09000013,Hammersmith & Fulham,3/1/1995,120635.9467, 498.00 , 7.40 
109,E09000014,Haringey,3/1/1995,78521.94855, 641.00 , 8.30 
110,E09000015,Harrow,3/1/1995,83416.23759, 436.00 , 6.90 
111,E09000016,Havering,3/1/1995,69368.02407, 419.00 , 6.80 
112,E09000017,Hillingdon,3/1/1995,74188.66949, 466.00 , 7.20 
113,E09000018,Hounslow,3/1/1995,72097.99411, 486.00 , 7.30 
114,E09000019,Islington,3/1/1995,93465.86407, 583.00 , 8.00 
115,E09000020,Kensington & Chelsea,3/1/1995,182878.8231, 664.00 , 8.50 
116,E09000021,Kingston upon Thames,3/1/1995,81111.48848, 526.00 , 7.60 
117,E09000022,Lambeth,3/1/1995,66336.51868, 675.00 , 8.50 
118,E09000023,Lewisham,3/1/1995,60288.03002, 601.00 , 8.10 
119,E09000024,Merton,3/1/1995,80661.68279, 521.00 , 7.60 
120,E09000025,Newham,3/1/1995,53458.26393, 623.00 , 8.20 
121,E09000026,Redbridge,3/1/1995,72501.35502, 480.00 , 7.30 
122,E09000027,Richmond upon Thames,3/1/1995,107325.4742, 479.00 , 7.30 
123,E09000028,Southwark,3/1/1995,65763.29719, 620.00 , 8.20 
124,E09000029,Sutton,3/1/1995,70306.83844, 428.00 , 6.90 
125,E09000030,Tower Hamlets,3/1/1995,63938.67686, 690.00 , 8.60 
126,E09000031,Waltham Forest,3/1/1995,60871.08493, 613.00 , 8.20 
127,E09000032,Wandsworth,3/1/1995,87124.81523, 606.00 , 8.10 
128,E09000033,Westminster,3/1/1995,132260.3417, 716.00 , 8.80 
145,E09000002,Barking & Dagenham,4/1/1995,53133.50526, 548.00 , 7.80 
146,E09000003,Barnet,4/1/1995,90762.87492, 471.00 , 7.20 
147,E09000004,Bexley,4/1/1995,64277.66881, 411.00 , 6.70 
148,E09000005,Brent,4/1/1995,72965.63094, 527.00 , 7.60 
149,E09000006,Bromley,4/1/1995,81124.41227, 427.00 , 6.90 
150,E09000007,Camden,4/1/1995,120097.899, 629.00 , 8.30 
151,E09000008,Croydon,4/1/1995,68610.04641, 418.00 , 6.80 
152,E09000009,Ealing,4/1/1995,82188.90498, 468.00 , 7.20 
153,E09000010,Enfield,4/1/1995,71442.92235, 432.00 , 6.90 
154,E09000011,Greenwich,4/1/1995,61927.7246, 567.00 , 7.90 
155,E09000012,Hackney,4/1/1995,65139.64403, 942.00 , 9.80 
156,E09000013,Hammersmith & Fulham,4/1/1995,121424.6241, 498.00 , 7.40 
157,E09000014,Haringey,4/1/1995,79545.57477, 641.00 , 8.30 
158,E09000015,Harrow,4/1/1995,83567.88439, 436.00 , 6.90 
159,E09000016,Havering,4/1/1995,69444.26215, 419.00 , 6.80 
160,E09000017,Hillingdon,4/1/1995,73911.40591, 466.00 , 7.20 
161,E09000018,Hounslow,4/1/1995,71890.28339, 486.00 , 7.30 
162,E09000019,Islington,4/1/1995,93344.49305, 583.00 , 8.00 
163,E09000020,Kensington & Chelsea,4/1/1995,184176.9168, 664.00 , 8.50 
164,E09000021,Kingston upon Thames,4/1/1995,81672.80476, 526.00 , 7.60 
165,E09000022,Lambeth,4/1/1995,66388.7716, 675.00 , 8.50 
166,E09000023,Lewisham,4/1/1995,59471.03136, 601.00 , 8.10 
167,E09000024,Merton,4/1/1995,79990.54333, 521.00 , 7.60 
168,E09000025,Newham,4/1/1995,54479.75395, 623.00 , 8.20 
169,E09000026,Redbridge,4/1/1995,72228.60295, 480.00 , 7.30 
170,E09000027,Richmond upon Thames,4/1/1995,106875, 479.00 , 7.30 
171,E09000028,Southwark,4/1/1995,63073.62117, 620.00 , 8.20 
172,E09000029,Sutton,4/1/1995,69411.9439, 428.00 , 6.90 
173,E09000030,Tower Hamlets,4/1/1995,66233.19383, 690.00 , 8.60 
174,E09000031,Waltham Forest,4/1/1995,60971.39722, 613.00 , 8.20 
175,E09000032,Wandsworth,4/1/1995,87026.00225, 606.00 , 8.10 
176,E09000033,Westminster,4/1/1995,133370.2036, 716.00 , 8.80 
193,E09000002,Barking & Dagenham,5/1/1995,53042.24852, 548.00 , 7.80 
194,E09000003,Barnet,5/1/1995,90258.00033, 471.00 , 7.20 
195,E09000004,Bexley,5/1/1995,63997.13588, 411.00 , 6.70 
196,E09000005,Brent,5/1/1995,73704.04743, 527.00 , 7.60 
197,E09000006,Bromley,5/1/1995,81542.61561, 427.00 , 6.90 
198,E09000007,Camden,5/1/1995,119929.2782, 629.00 , 8.30 
199,E09000008,Croydon,5/1/1995,68844.9169, 418.00 , 6.80 
200,E09000009,Ealing,5/1/1995,82077.05525, 468.00 , 7.20 
201,E09000010,Enfield,5/1/1995,70630.77955, 432.00 , 6.90 
202,E09000011,Greenwich,5/1/1995,63512.99103, 567.00 , 7.90 
203,E09000012,Hackney,5/1/1995,66193.99212, 942.00 , 9.80 
204,E09000013,Hammersmith & Fulham,5/1/1995,124433.539, 498.00 , 7.40 
205,E09000014,Haringey,5/1/1995,79374.0349, 641.00 , 8.30 
206,E09000015,Harrow,5/1/1995,83853.65615, 436.00 , 6.90 
207,E09000016,Havering,5/1/1995,68534.52248, 419.00 , 6.80 
208,E09000017,Hillingdon,5/1/1995,73117.12416, 466.00 , 7.20 
209,E09000018,Hounslow,5/1/1995,72877.47219, 486.00 , 7.30 
210,E09000019,Islington,5/1/1995,94346.39917, 583.00 , 8.00 
211,E09000020,Kensington & Chelsea,5/1/1995,191474.1141, 664.00 , 8.50 
212,E09000021,Kingston upon Thames,5/1/1995,82123.51084, 526.00 , 7.60 
213,E09000022,Lambeth,5/1/1995,69035.11076, 675.00 , 8.50 
214,E09000023,Lewisham,5/1/1995,58551.38387, 601.00 , 8.10 
215,E09000024,Merton,5/1/1995,80873.98643, 521.00 , 7.60 
216,E09000025,Newham,5/1/1995,55803.95958, 623.00 , 8.20 
217,E09000026,Redbridge,5/1/1995,72366.64122, 480.00 , 7.30 
218,E09000027,Richmond upon Thames,5/1/1995,107707.6799, 479.00 , 7.30 
219,E09000028,Southwark,5/1/1995,64420.49933, 620.00 , 8.20 
220,E09000029,Sutton,5/1/1995,69759.21989, 428.00 , 6.90 
221,E09000030,Tower Hamlets,5/1/1995,66432.85846, 690.00 , 8.60 
222,E09000031,Waltham Forest,5/1/1995,61494.16938, 613.00 , 8.20 
223,E09000032,Wandsworth,5/1/1995,86518.05945, 606.00 , 8.10 
224,E09000033,Westminster,5/1/1995,133911.1117, 716.00 , 8.80 
241,E09000002,Barking & Dagenham,6/1/1995,53700.34831, 548.00 , 7.80 
242,E09000003,Barnet,6/1/1995,90107.23471, 471.00 , 7.20 
243,E09000004,Bexley,6/1/1995,64252.32335, 411.00 , 6.70 
244,E09000005,Brent,6/1/1995,74310.48167, 527.00 , 7.60 
245,E09000006,Bromley,6/1/1995,82382.83435, 427.00 , 6.90 
246,E09000007,Camden,6/1/1995,121887.4625, 629.00 , 8.30 
247,E09000008,Croydon,6/1/1995,69052.51103, 418.00 , 6.80 
248,E09000009,Ealing,6/1/1995,81630.66181, 468.00 , 7.20 
249,E09000010,Enfield,6/1/1995,71348.31147, 432.00 , 6.90 
250,E09000011,Greenwich,6/1/1995,64751.56404, 567.00 , 7.90 
251,E09000012,Hackney,6/1/1995,66921.17101, 942.00 , 9.80 
252,E09000013,Hammersmith & Fulham,6/1/1995,126175.1513, 498.00 , 7.40 
253,E09000014,Haringey,6/1/1995,79956.3621, 641.00 , 8.30 
254,E09000015,Harrow,6/1/1995,84173.24689, 436.00 , 6.90 
255,E09000016,Havering,6/1/1995,68464.60664, 419.00 , 6.80 
256,E09000017,Hillingdon,6/1/1995,74005.00585, 466.00 , 7.20 
257,E09000018,Hounslow,6/1/1995,72331.08116, 486.00 , 7.30 
258,E09000019,Islington,6/1/1995,97428.94311, 583.00 , 8.00 
259,E09000020,Kensington & Chelsea,6/1/1995,197265.7602, 664.00 , 8.50 
260,E09000021,Kingston upon Thames,6/1/1995,82205.66822, 526.00 , 7.60 
261,E09000022,Lambeth,6/1/1995,68881.15764, 675.00 , 8.50 
262,E09000023,Lewisham,6/1/1995,58041.43543, 601.00 , 8.10 
263,E09000024,Merton,6/1/1995,80704.92667, 521.00 , 7.60 
264,E09000025,Newham,6/1/1995,56067.76986, 623.00 , 8.20 
265,E09000026,Redbridge,6/1/1995,72279.4325, 480.00 , 7.30 
266,E09000027,Richmond upon Thames,6/1/1995,112865.0542, 479.00 , 7.30 
267,E09000028,Southwark,6/1/1995,64155.81449, 620.00 , 8.20 
268,E09000029,Sutton,6/1/1995,70125.24728, 428.00 , 6.90 
269,E09000030,Tower Hamlets,6/1/1995,66232.16372, 690.00 , 8.60 
270,E09000031,Waltham Forest,6/1/1995,61547.79643, 613.00 , 8.20 
271,E09000032,Wandsworth,6/1/1995,88114.3351, 606.00 , 8.10 
272,E09000033,Westminster,6/1/1995,134562.1941, 716.00 , 8.80 
289,E09000002,Barking & Dagenham,7/1/1995,52113.12157, 548.00 , 7.80 
