,ID,London Borough,Date,Average Price
1,E09000002,Barking & Dagenham,1995-01-01,50460.2266
2,E09000003,Barnet,1995-01-01,93284.51832
3,E09000004,Bexley,1995-01-01,64958.09036
4,E09000005,Brent,1995-01-01,71306.56698
5,E09000006,Bromley,1995-01-01,81671.47692
6,E09000007,Camden,1995-01-01,120932.8881
7,E09000008,Croydon,1995-01-01,69158.16225
8,E09000009,Ealing,1995-01-01,79885.89069
9,E09000010,Enfield,1995-01-01,72514.69096
10,E09000011,Greenwich,1995-01-01,62300.10169
11,E09000012,Hackney,1995-01-01,61296.52637
12,E09000013,Hammersmith & Fulham,1995-01-01,124902.8602
13,E09000014,Haringey,1995-01-01,76287.56947
14,E09000015,Harrow,1995-01-01,84769.52599
15,E09000016,Havering,1995-01-01,68000.13774
16,E09000017,Hillingdon,1995-01-01,73834.82964
17,E09000018,Hounslow,1995-01-01,72231.70537
18,E09000019,Islington,1995-01-01,92516.48557
19,E09000020,Kensington & Chelsea,1995-01-01,182694.8326
20,E09000021,Kingston upon Thames,1995-01-01,80875.84843
21,E09000022,Lambeth,1995-01-01,67770.98843
22,E09000023,Lewisham,1995-01-01,60491.26109
23,E09000024,Merton,1995-01-01,82070.6133
24,E09000025,Newham,1995-01-01,53539.31919
25,E09000026,Redbridge,1995-01-01,72189.58437
26,E09000027,Richmond upon Thames,1995-01-01,109326.1245
27,E09000028,Southwark,1995-01-01,67885.20344
28,E09000029,Sutton,1995-01-01,71536.97357
29,E09000030,Tower Hamlets,1995-01-01,59865.18995
30,E09000031,Waltham Forest,1995-01-01,61319.44913
31,E09000032,Wandsworth,1995-01-01,88559.04381
32,E09000033,Westminster,1995-01-01,133025.2772
49,E09000002,Barking & Dagenham,1995-02-01,51085.77983
50,E09000003,Barnet,1995-02-01,93190.16963
51,E09000004,Bexley,1995-02-01,64787.92069
52,E09000005,Brent,1995-02-01,72022.26197
53,E09000006,Bromley,1995-02-01,81657.55944
54,E09000007,Camden,1995-02-01,119508.8622
55,E09000008,Croydon,1995-02-01,68951.09542
56,E09000009,Ealing,1995-02-01,80897.06551
57,E09000010,Enfield,1995-02-01,73155.19746
58,E09000011,Greenwich,1995-02-01,60993.26863
59,E09000012,Hackney,1995-02-01,63187.08332
60,E09000013,Hammersmith & Fulham,1995-02-01,122087.718
61,E09000014,Haringey,1995-02-01,78901.21036
62,E09000015,Harrow,1995-02-01,83396.10525
63,E09000016,Havering,1995-02-01,69393.51294
64,E09000017,Hillingdon,1995-02-01,75031.0696
65,E09000018,Hounslow,1995-02-01,71051.55852
66,E09000019,Islington,1995-02-01,94342.37334
67,E09000020,Kensington & Chelsea,1995-02-01,182345.2463
68,E09000021,Kingston upon Thames,1995-02-01,81230.13524
69,E09000022,Lambeth,1995-02-01,65381.51908
70,E09000023,Lewisham,1995-02-01,60869.27091
71,E09000024,Merton,1995-02-01,79982.74872
72,E09000025,Newham,1995-02-01,53153.88306
73,E09000026,Redbridge,1995-02-01,72141.6261
74,E09000027,Richmond upon Thames,1995-02-01,111103.0394
75,E09000028,Southwark,1995-02-01,64799.0648
76,E09000029,Sutton,1995-02-01,70893.20851
77,E09000030,Tower Hamlets,1995-02-01,62318.53353
78,E09000031,Waltham Forest,1995-02-01,60252.12246
79,E09000032,Wandsworth,1995-02-01,88641.01678
80,E09000033,Westminster,1995-02-01,131468.3096
97,E09000002,Barking & Dagenham,1995-03-01,51268.96956
98,E09000003,Barnet,1995-03-01,92247.52435
99,E09000004,Bexley,1995-03-01,64367.49344
100,E09000005,Brent,1995-03-01,72015.76274
101,E09000006,Bromley,1995-03-01,81449.31143
102,E09000007,Camden,1995-03-01,120282.2131
103,E09000008,Croydon,1995-03-01,68712.44341
104,E09000009,Ealing,1995-03-01,81379.86288
105,E09000010,Enfield,1995-03-01,72190.44144
106,E09000011,Greenwich,1995-03-01,61377.83464
107,E09000012,Hackney,1995-03-01,63593.29935
108,E09000013,Hammersmith & Fulham,1995-03-01,120635.9467
109,E09000014,Haringey,1995-03-01,78521.94855
110,E09000015,Harrow,1995-03-01,83416.23759
111,E09000016,Havering,1995-03-01,69368.02407
112,E09000017,Hillingdon,1995-03-01,74188.66949
113,E09000018,Hounslow,1995-03-01,72097.99411
114,E09000019,Islington,1995-03-01,93465.86407
